feature,category,dtype,missing_rate,unique_values
MatchDate,excluded,str,0.0,534
KickoffTime,excluded,str,0.0,15
HomeTeam,excluded,str,0.0,30
AwayTeam,excluded,str,0.0,30
FullTimeHomeGoals,excluded,int64,0.0,8
FullTimeAwayGoals,excluded,int64,0.0,8
FullTimeResult,excluded,str,0.0,3
HalfTimeHomeGoals,excluded,float64,0.02219040801717967,6
HalfTimeAwayGoals,excluded,float64,0.02219040801717967,5
HalfTimeResult,excluded,str,0.02219040801717967,3
HomeShots,excluded,float64,0.02219040801717967,36
AwayShots,excluded,float64,0.02219040801717967,30
HomeShotsOnTarget,excluded,float64,0.02219040801717967,17
AwayShotsOnTarget,excluded,float64,0.02219040801717967,16
HomeFouls,excluded,float64,0.02219040801717967,27
AwayFouls,excluded,float64,0.02219040801717967,26
HomeCorners,excluded,float64,0.02219040801717967,17
AwayCorners,excluded,float64,0.02219040801717967,17
HomeYellowCards,excluded,float64,0.02219040801717967,10
AwayYellowCards,excluded,float64,0.02219040801717967,10
HomeRedCards,excluded,float64,0.02219040801717967,3
AwayRedCards,excluded,float64,0.02219040801717967,4
Bet365_HomeWinOdds,market,float64,0.024337866857551897,129
Bet365_DrawOdds,market,float64,0.024337866857551897,37
Bet365_AwayWinOdds,market,float64,0.024337866857551897,116
BetWin_HomeWinOdds,market,float64,0.1231209735146743,128
BetWin_DrawOdds,market,float64,0.1231209735146743,41
BetWin_AwayWinOdds,market,float64,0.1231209735146743,126
Interwetten_HomeWinOdds,market,float64,0.6556907659269864,83
Interwetten_DrawOdds,market,float64,0.6556907659269864,36
Interwetten_AwayWinOdds,market,float64,0.6556907659269864,91
Pinnacle_HomeWinOdds,market,float64,0.16678596993557623,367
Pinnacle_DrawOdds,market,float64,0.16678596993557623,309
Pinnacle_AwayWinOdds,market,float64,0.16678596993557623,543
WilliamHill_HomeWinOdds,market,float64,0.3242662848962062,97
WilliamHill_DrawOdds,market,float64,0.3242662848962062,35
WilliamHill_AwayWinOdds,market,float64,0.3242662848962062,91
VCBet_HomeWinOdds,market,float64,0.5110952040085899,89
VCBet_DrawOdds,market,float64,0.5110952040085899,33
VCBet_AwayWinOdds,market,float64,0.5110952040085899,89
Max_HomeWinOdds,market,float64,0.020758768790264854,337
Max_DrawOdds,market,float64,0.020758768790264854,231
Max_AwayWinOdds,market,float64,0.020758768790264854,419
Avg_HomeWinOdds,market,float64,0.020758768790264854,384
Avg_DrawOdds,market,float64,0.020758768790264854,300
Avg_AwayWinOdds,market,float64,0.020758768790264854,553
Bet365_Over2_5GoalsOdds,market,float64,0.024337866857551897,53
Bet365_Under2_5GoalsOdds,market,float64,0.024337866857551897,50
P>2.5,market,float64,0.16535433070866143,118
P<2.5,market,float64,0.16535433070866143,180
Max>2.5,market,float64,0.020758768790264854,118
Max<2.5,market,float64,0.020758768790264854,159
Avg>2.5,market,float64,0.020758768790264854,118
Avg<2.5,market,float64,0.020758768790264854,188
AHh,market,float64,0.020758768790264854,23
Bet365_AH_HomeOdds,market,float64,0.03793843951324266,31
Bet365_AH_AwayOdds,market,float64,0.03793843951324266,32
PAHH,market,float64,0.1639226914817466,47
PAHA,market,float64,0.1639226914817466,45
MaxAHH,market,float64,0.020758768790264854,45
MaxAHA,market,float64,0.020758768790264854,49
AvgAHH,market,float64,0.020758768790264854,41
AvgAHA,market,float64,0.020758768790264854,46
Bet365_ClosingHomeOdds,excluded,float64,0.020758768790264854,127
Bet365_ClosingDrawOdds,excluded,float64,0.020758768790264854,42
Bet365_ClosingAwayOdds,excluded,float64,0.020758768790264854,120
BWCH,market,float64,0.12455261274158912,134
BWCD,market,float64,0.12455261274158912,46
BWCA,market,float64,0.12455261274158912,133
IWCH,market,float64,0.6542591267000716,89
IWCD,market,float64,0.6542591267000716,41
IWCA,market,float64,0.6542591267000716,92
Pinnacle_ClosingHomeOdds,excluded,float64,0.1624910522548318,383
Pinnacle_ClosingDrawOdds,excluded,float64,0.1624910522548318,320
Pinnacle_ClosingAwayOdds,excluded,float64,0.1624910522548318,561
WHCH,market,float64,0.3235504652827487,98
WHCD,market,float64,0.3235504652827487,37
WHCA,market,float64,0.3235504652827487,93
VCCH,market,float64,0.5039370078740157,90
VCCD,market,float64,0.5039370078740157,34
VCCA,market,float64,0.5039370078740157,89
MaxCH,market,float64,0.020758768790264854,367
MaxCD,market,float64,0.020758768790264854,270
MaxCA,market,float64,0.020758768790264854,484
AvgCH,market,float64,0.020758768790264854,400
AvgCD,market,float64,0.020758768790264854,325
AvgCA,market,float64,0.020758768790264854,581
B365C>2.5,market,float64,0.020758768790264854,58
B365C<2.5,market,float64,0.020758768790264854,54
PC>2.5,market,float64,0.1624910522548318,136
PC<2.5,market,float64,0.1624910522548318,211
MaxC>2.5,market,float64,0.020758768790264854,137
MaxC<2.5,market,float64,0.020758768790264854,188
AvgC>2.5,market,float64,0.020758768790264854,127
AvgC<2.5,market,float64,0.020758768790264854,204
AHCh,market,float64,0.021474588403722263,23
B365CAHH,market,float64,0.020758768790264854,32
B365CAHA,market,float64,0.020758768790264854,33
PCAHH,market,float64,0.1624910522548318,62
PCAHA,market,float64,0.1624910522548318,61
MaxCAHH,market,float64,0.020758768790264854,53
MaxCAHA,market,float64,0.020758768790264854,55
AvgCAHH,market,float64,0.020758768790264854,47
AvgCAHA,market,float64,0.020758768790264854,49
League,no_odds,str,0.0,1
BFH,market,float64,0.7551896921975663,81
BFD,market,float64,0.7551896921975663,33
BFA,market,float64,0.7551896921975663,82
1XBH,market,float64,0.7616320687186829,195
1XBD,market,float64,0.7616320687186829,159
1XBA,market,float64,0.7616320687186829,231
BFEH,market,float64,0.5311381531853973,187
BFED,market,float64,0.5311381531853973,88
BFEA,market,float64,0.5311381531853973,177
BFE>2.5,market,float64,0.5941302791696492,107
BFE<2.5,market,float64,0.5941302791696492,120
BFEAHH,market,float64,0.737294201861131,50
BFEAHA,market,float64,0.737294201861131,52
BFCH,market,float64,0.7551896921975663,85
BFCD,market,float64,0.7551896921975663,35
BFCA,market,float64,0.7551896921975663,86
1XBCH,market,float64,0.7551896921975663,217
1XBCD,market,float64,0.7551896921975663,174
1XBCA,market,float64,0.7551896921975663,248
BFECH,market,float64,0.5304223335719399,200
BFECD,market,float64,0.5304223335719399,67
BFECA,market,float64,0.5304223335719399,189
BFEC>2.5,market,float64,0.5311381531853973,109
BFEC<2.5,market,float64,0.5311381531853973,123
BFECAHH,market,float64,0.5311381531853973,50
BFECAHA,market,float64,0.5311381531853973,48
BFDH,market,float64,0.7644953471725126,61
BFDD,market,float64,0.7644953471725126,21
BFDA,market,float64,0.7637795275590551,63
BMGMH,market,float64,0.7823908375089478,143
BMGMD,market,float64,0.7823908375089478,48
BMGMA,market,float64,0.7823908375089478,125
BVH,market,float64,0.7752326413743736,80
BVD,market,float64,0.7752326413743736,31
BVA,market,float64,0.7752326413743736,84
CLH,market,float64,0.8489620615604867,65
CLD,market,float64,0.8489620615604867,28
CLA,market,float64,0.8489620615604867,65
Ladbrokes_HomeWinOdds,market,float64,0.8432355046528275,67
Ladbrokes_DrawOdds,market,float64,0.8432355046528275,28
Ladbrokes_AwayWinOdds,market,float64,0.8432355046528275,67
BFDCH,market,float64,0.7659269863994274,62
BFDCD,market,float64,0.7659269863994274,21
BFDCA,market,float64,0.7659269863994274,62
BMGMCH,market,float64,0.780959198282033,138
BMGMCD,market,float64,0.780959198282033,49
BMGMCA,market,float64,0.780959198282033,133
BVCH,market,float64,0.7644953471725126,87
BVCD,market,float64,0.7644953471725126,34
BVCA,market,float64,0.7644953471725126,85
CLCH,market,float64,0.8475304223335719,71
CLCD,market,float64,0.8475304223335719,29
CLCA,market,float64,0.8475304223335719,68
LBCH,market,float64,0.8418038654259127,70
LBCD,market,float64,0.8418038654259127,28
LBCA,market,float64,0.8418038654259127,69
HxG,no_odds,float64,0.98067287043665,27
AxG,no_odds,float64,0.98067287043665,25
PPH,no_odds,float64,0.98067287043665,21
PPD,no_odds,float64,0.98067287043665,11
PPA,no_odds,float64,0.98067287043665,24
SKBH,no_odds,float64,0.98067287043665,20
SKBD,no_odds,float64,0.98067287043665,14
SKBA,no_odds,float64,0.98067287043665,21
PPCH,no_odds,float64,0.9813886900501074,20
PPCD,no_odds,float64,0.9813886900501074,12
PPCA,no_odds,float64,0.9813886900501074,23
SKBCH,no_odds,float64,0.9813886900501074,24
SKBCD,no_odds,float64,0.9813886900501074,15
SKBCA,no_odds,float64,0.9813886900501074,24
HomeWin,excluded,int64,0.0,2
AwayWin,excluded,int64,0.0,2
Draw,excluded,int64,0.0,2
WinningTeam,excluded,str,0.24910522548317823,28
HalfTimeHomeWin,excluded,int64,0.0,2
HalfTimeAwayWin,excluded,int64,0.0,2
HalfTimeDraw,excluded,int64,0.0,2
HomePoints,excluded,int64,0.0,3
AwayPoints,excluded,int64,0.0,3
HomeTeamPointsLast5,no_odds,float64,0.021474588403722263,15
AwayTeamPointsLast5,no_odds,float64,0.021474588403722263,15
HomeH2HWinLast5,no_odds,int64,0.0,4
AwayH2HWinLast5,no_odds,int64,0.0,4
H2HDrawLast5,no_odds,int64,0.0,6
Season,excluded,int64,0.0,5
HomeTeamCumulativePoints,excluded,int64,0.0,51
AwayTeamCumulativePoints,excluded,int64,0.0,48
HomeRestDays,no_odds,float64,0.021474588403722263,82
AwayRestDays,no_odds,float64,0.021474588403722263,82
TeamId,no_odds,str,0.0,30
HomeGoalsAve,excluded,float64,0.0,29
HomeGoalsTotal,excluded,int64,0.0,27
HomeGoalsHalfAve,excluded,float64,0.0,28
HomeGoalsHalfTotal,excluded,float64,0.0,25
HomeShotsAve,excluded,float64,0.0,30
HomeShotsTotal,excluded,float64,0.0,30
HomeShotsOnTargetAve,excluded,float64,0.0,29
HomeFirstHalfDifferentialAve,excluded,float64,0.0,29
HomeGameDifferentialAve,excluded,float64,0.0,29
HomeFirstToSecondHalfGoalRatioAve,excluded,float64,0.0014316392269148174,27
AwayGoalsAve,excluded,float64,0.0,30
AwayGoalsTotal,excluded,int64,0.0,28
AwayGoalsHalfAve,excluded,float64,0.0,25
AwayGoalsHalfTotal,excluded,float64,0.0,22
AwayShotsAve,excluded,float64,0.0,30
AwayShotsTotal,excluded,float64,0.0,28
AwayShotsOnTargetAve,excluded,float64,0.0,27
AwayFirstHalfDifferentialAve,excluded,float64,0.0,28
AwayGameDifferentialAve,excluded,float64,0.0,28
AwayFirstToSecondHalfGoalRatioAve,excluded,float64,0.0007158196134574087,27
ImpliedProb_HomeWin,market,float64,0.024337866857551897,129
ImpliedProb_Draw,market,float64,0.024337866857551897,37
ImpliedProb_AwayWin,market,float64,0.024337866857551897,116
ImpliedProb_HomeWin_Norm,market,float64,0.024337866857551897,1023
ImpliedProb_Draw_Norm,market,float64,0.024337866857551897,931
ImpliedProb_AwayWin_Norm,market,float64,0.024337866857551897,1049
Bet365_MarketMargin,market,float64,0.024337866857551897,884
OddsMovement_Home,market,float64,0.3278453829634932,82
OddsMovement_Away,market,float64,0.3278453829634932,100
